BubbleSort,10000,0,140,142,117,133,117,
BubbleSort,10000,1,587,401,393,398,399,
BubbleSort,10000,2,207,225,216,221,218,
BubbleSort,10000,4,149,121,125,142,138,
BubbleSort,10000,8,83,94,92,81,83,
BubbleSort,50000,0,2979,2966,2938,3050,2986,
BubbleSort,50000,1,35514,35400,36327,35339,35580,
BubbleSort,50000,2,19072,19748,18780,19494,18785,
BubbleSort,50000,4,11264,11264,10603,10808,10777,
BubbleSort,50000,8,8085,7964,8091,7974,8486,
BubbleSort,100000,0,12121,11784,12074,12096,11751,
BubbleSort,100000,1,265934,265483,262647,274792,269292,
BubbleSort,100000,2,137844,135194,135795,138016,144663,
BubbleSort,100000,4,83781,82328,82185,82058,85224,
BubbleSort,100000,8,59285,59307,63567,60988,59655,
